T,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.6153846153846154,1.0,0.0,0.46153846153846156,0.46153846153846156,0.7692307692307693,0.6153846153846154,0.0,0.6153846153846154,0.0,0.6153846153846154
I,0.2727272727272727,0.9090909090909091,0.09090909090909091,0.45454545454545453,0.0,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.18181818181818182,1.0,0.09090909090909091,0.6363636363636364,0.0,0.5454545454545454,0.18181818181818182,0.7272727272727273
D,0.2222222222222222,1.0,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.0,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.7777777777777778
N,0.5555555555555556,1.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.8888888888888888,0.0,0.6666666666666666
G,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.8888888888888888,0.0,0.6666666666666666,0.4444444444444444,1.0
S,0.36363636363636365,1.0,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.0,0.7272727272727273,0.8181818181818182,0.6363636363636364
B,0.25,0.0,0.375,0.25,0.25,0.75,0.625,0.5,0.5,0.625,0.5,0.5,0.0,0.75,0.625,1.0
A,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,1.0,0.0,0.7142857142857143,0.14285714285714285,0.8571428571428571
J,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.45454545454545453,0.09090909090909091,0.45454545454545453,1.0,0.2727272727272727,0.6363636363636364,0.0,0.45454545454545453,0.0,0.5454545454545454
M,0.7142857142857143,1.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.7857142857142857,0.0,0.5714285714285714,0.5,0.0,0.0,0.5
X,0.14285714285714285,1.0,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.0,0.8571428571428571,0.5714285714285714,0.7142857142857143
